Список заявок на 02:26 28.11.23;;;;;;;;;;;;;;;;;;;;
№ свой;№ чужой;Предприятие;Комплекс;;Состояние заявки;Объект;Оборудование;Оборудование, выводимое в ремонт;Состояние оборудования по заявке;Программа переключений ;Актуализация;Разрешенное время - начало ;Разрешенное время -  конец;Просимое время - начало;Ремонт;Категория;Просрочена;А\Г;Заземление;Условия производства
12381;20638;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Завод Ильич;УОН 2 комплект;;с отключением;КП;;;;09:00 23.11.23;ВКЛ;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
12387;21464;МЭС Северо-Запада;ЭЛТ.Прочее ЭЛТ;;Не рассмотренная;ПС 400 кВ Выборгская;Технологическое оборудование, определяющее режим и пропускную способность ВПК;;с отключением;Б;;;;00:00 01.12.23;ВПр;ПЛ;;ВЗ;; 
12388;21466;МЭС Северо-Запада;ЭЛТ.СКРМ.БК.БК 35 кВ;;Не рассмотренная;ПС 400 кВ Выборгская;ДКБ ТВ-4;;с отключением;Б;;;;00:00 01.12.23;ВПр;ПЛ;;ВЗ;; 
12390;21467;МЭС Северо-Запада;ЭЛТ.СКРМ.БК.БК 35 кВ;;Не рассмотренная;ПС 400 кВ Выборгская;ДКБ ТИ-3;;с отключением;Б;;;;00:00 01.12.23;ВПр;ПЛ;;ВЗ;; 
12391;21468;МЭС Северо-Запада;ЭЛТ.СКРМ.БК.БК 35 кВ;;Не рассмотренная;ПС 400 кВ Выборгская;ДКБ ТИ-4;;с отключением;Б;;;;00:00 01.12.23;ВПр;ПЛ;;ВЗ;; 
12393;21463;МЭС Северо-Запада;ЭЛТ.Прочее ЭЛТ;;Не рассмотренная;ПС 400 кВ Выборгская;Технологическое оборудование, определяющее режим и пропускную способность ВПК;;с отключением;Б;;;;00:00 01.12.23;ВПр;ПЛ;;04:00;; 
12407;0;ОДУ Северо-Запада;АСДУ.ПАК;;Не рассмотренная;ОДУ Северо-Запада;CK11.Proxy;;без отключения;Пусто;;;;10:00 30.11.23;П;НПЛ;;00:30;; 
12410;6428;Новгородское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Новосокольники;АОПН ВЛ 330 кВ Новосокольники – Талашкино (7SJ641);;с отключением;Б от 30.11.23;;;;08:00 30.11.23;ТК;НПЛ;;02:00;;без отключения ЛЭП (оборудования)
12414;6525;Карельское РДУ;АСДУ.ПАК;;Не рассмотренная;Карельское РДУ;ПАК «MODES-Terminal»;;без отключения;Пусто;;;;09:00 04.12.23;ОПО;НПЛ;;00:15;; 
12425;21017;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Василеостровская;ДЗШ 2 комплект 1 СШ 330 (7UT63);;с отключением;Б;;;;00:00 06.12.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12426;21526;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 750 кВ Ленинградская;Комплект 1 основной защиты ВЛ 330 кВ Ленинградская – Звёздная II цепь (ДЗЛ, СЗ) (7SD52);;с отключением;Б;;;;06:00 07.12.23;ВП;НПЛ;;02:00;;без отключения ЛЭП (оборудования)
12427;21536;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Звёздная;Комплект 1 основной защиты ВЛ 330 кВ Ленинградская – Звёздная II цепь (ДЗЛ, СЗ) (7SD52);;с отключением;Б;;;;06:00 07.12.23;ВПр;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12428;21489;МЭС Северо-Запада;ЛЭП.ЛЭП 750 кВ;;Не рассмотренная;Ленинградское ПМЭС;ВЛ 750 кВ Белозерская – Ленинградская;;с отключением;ТП;да;;;06:00 08.12.23;ТР;ПЛ;;04:00;Да;под наведенным напряжением
12429;21283;МЭС Северо-Запада;ЛЭП.ЛЭП 750 кВ;;Не рассмотренная;Карельское ПМЭС;ВЛ 750 кВ Белозерская – Ленинградская;;с отключением;ТП;да;;;08:00 08.12.23;КР;ПЛ;;08:00;Да;под наведенным напряжением
12474;20740;Ленинградское РДУ;ЭЛТ.СШ.СШ 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;1Ш 330кВ;;с отключением;П Вывод 122/144, ввод 123/145 от 15.11.2023;;;;00:00 29.11.23;РЕК;НПЛ;;04:00;; 
12475;20741;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;В Л-388/АТ-1;;с отключением;П Вывод 122/144, ввод 123/145 от 15.11.2023;;;;00:00 29.11.23;БВР;НПЛ;;04:00;; 
12476;20743;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;В Л-488/АТ-1;;с отключением;П Вывод 122/144, ввод 123/145 от 15.11.2023;;;;00:00 29.11.23;БВР;НПЛ;;04:00;; 
12504;20505;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Западная;АОПО КВЛ 330 кВ Западная – Пулковская;;без отключения;Б;да;;;08:00 30.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12508;6719;Кольское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;Кольская ВЭС;СДТУ направления Кольское РДУ – Кольская ВЭС;;без отключения;Пусто;;;;08:01 04.12.23;ВПр;НПЛ;;01:00;;без отключения ЛЭП (оборудования)
12510;6488;Новгородское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 330 кВ Юго-Западная;СДТУ направления Новгородское РДУ – ПС 330 кВ Юго-Западная;;с отключением;Пусто;;;;09:00 04.12.23;К;НПЛ;;01:00;;без отключения ЛЭП (оборудования)
12526;21760;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Ржевская;ДЗО стороны ВН комплект 1 АТ-3 (ШЭ2710 542);;с отключением;КП;;;;00:00 01.12.23;ВКЛ;НПЛ;;ВЗ;; 
12527;21761;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Ржевская;ДЗО стороны ВН комплект 2 АТ-3 (ШЭ2710 542);;с отключением;КП;;;;00:00 01.12.23;ВКЛ;НПЛ;;ВЗ;; 
12528;21762;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Ржевская;КСЗ стороны ВН АТ-3 (ДЗ, ТЗНП) (ШЭ2710 542);;с отключением;КП;;;;00:00 01.12.23;ВКЛ;НПЛ;;ВЗ;; 
12530;20508;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 220 кВ Колпинская;АОПО ВЛ 220 кВ Звёздная – Колпинская;;без отключения;Б;да;;;00:00 01.12.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12531;20509;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 220 кВ Колпинская;АОПО КВЛ 220 кВ Колпинская – Славянка;;без отключения;Б;;;;00:00 01.12.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12532;20513;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Звёздная;АОПО ВЛ 330 кВ Ленинградская – Звёздная I цепь;;без отключения;Б;;;;00:00 01.12.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12533;20514;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Звёздная;АОПО ВЛ 330 кВ Ленинградская – Звёздная II цепь;;без отключения;Б;да;;;00:00 01.12.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12550;20512;Ленинградское РДУ;ЭЛТ.Р.РШ.РШ 10 кВ;;Не рассмотренная;ПС 330 кВ Кингисеппская;Р-1-10;;с отключением;Пусто;да;;;00:00 01.12.23;ВПр;НПЛ;;ВЗ;; 
12553;20554;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Тихвин-Литейный;Комплект ПА №2 ВЛ 330 кВ Петрозаводск – Тихвин-Литейный (ФОЛ, АЛАР, АОПН, УРОВ АОПН) ;;с отключением;Б;;;;08:00 30.11.23;ВП;НПЛ;;02:00;;без отключения ЛЭП (оборудования)
12555;4787;Коми РДУ;ЭНРГ.Б;;Не рассмотренная;Печорская ГРЭС;Блок 2;;с отключением;Пусто;;;;17:01 04.12.23;ХР;НПЛ;;ВЗ;; 
12557;20755;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 400 кВ Выборгская;УФСМ-400 кВ;;с отключением;Б;;;;00:00 01.12.23;ВПр;ПЛ;;04:00;;без отключения ЛЭП (оборудования)
14002;24966;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Тихвин-Литейный;АОПО ВЛ 330 кВ Киришская ГРЭС – Тихвин-Литейный;;без отключения;Б;;;;08:00 01.12.23;ЗРР;ПЛ;;00:30;; 
14003;24967;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Тихвин-Литейный;АОПО АТ-3;;без отключения;Б;да;;;08:00 01.12.23;ЗРР;ПЛ;;00:30;; 
12560;20966;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;Ленинградская АЭС;АОПО 4АТ;;без отключения;Б;да;;;08:00 01.12.23;ЗРР;ПЛ;;00:20;; 
12575;0;ОДУ Северо-Запада;ЭЛТ.Прочее ЭЛТ;;Не рассмотренная;Ленинградское РДУ;Снижение надежности системы бесперебойного или гарантированного электроснабжения диспетчерского центра Ленинградское РДУ;;без отключения;Пусто;;;;10:00 01.12.23;ЗРР;ПЛ;;00:30;; 
12584;20771;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Не рассмотренная;Ленинградское ПМЭС;ВЛ 330 кВ Северо-Западная ТЭЦ – Зеленогорск;;с отключением;ТП №57, №58;да;;;09:00 01.12.23;БВР;ПЛ;;01:00;Да; 
12590;21009;Ленинградское РДУ;ЭЛТ.СШ.СШ 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;1Ш 330кВ;;с отключением;КП;;;;00:00 30.11.23;ВПр;НПЛ;;ВЗ;; 
12591;21010;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;В Л-388/АТ-1;;с отключением;КП;;;;00:00 30.11.23;ВПр;НПЛ;;ВЗ;; 
12592;21011;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;В Л-488/АТ-1;;с отключением;КП;;;;00:00 30.11.23;ВПр;НПЛ;;02:00;; 
12594;21006;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;В 330 АТ-3/АТ-1;;с отключением;КП;;;;00:00 30.11.23;ВКЛ;НПЛ;;ВЗ;; 
12595;21007;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;В 330 АТ-3/АТ-2;;с отключением;КП;;;;00:00 30.11.23;ВКЛ;НПЛ;;ВЗ;; 
12602;21906;МЭС Северо-Запада;РЗА;;Не рассмотренная;ПС 330 кВ Ржевская;Комплект РЗА В 330 АТ-3/АТ-1 (АУВ, УРОВ, АПВ) (БЭ2704 419);;с отключением;КП;;;;00:00 01.12.23;ВКЛ;НПЛ;;ВЗ;; 
12603;21897;МЭС Северо-Запада;РЗА;;Не рассмотренная;ПС 330 кВ Ржевская;Комплект РЗА В 330 АТ-3/АТ-2 (АУВ, УРОВ, АПВ) (БЭ2704 419);;с отключением;КП;;;;00:00 01.12.23;ВКЛ;НПЛ;;ВЗ;; 
12608;21910;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 750 кВ Ленинградская;Комплект защит №2 ВЛ 330 кВ Ленинградская – Колпино I цепь (ДЗЛ) (7SD52);;без отключения;Б;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12609;21917;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Колпино;Комплект защит №2 ВЛ 330 кВ Ленинградская – Колпино I цепь (ДЗЛ) (7SD52);;без отключения;Б;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12610;21916;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 750 кВ Ленинградская;Комплект защит №2 ВЛ 330 кВ Ленинградская – Колпино II цепь (ДЗЛ) (7SD52);;без отключения;Б;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12611;21915;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Колпино;Комплект защит №2 ВЛ 330 кВ Ленинградская – Колпино II цепь (ДЗЛ) (7SD52);;без отключения;Б;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12612;21930;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Восточная;Комплект 1 основной защиты ВЛ 330 кВ Восточная – Звёздная (ДЗЛ, СЗ) (7SD52);;без отключения;Б;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12613;21931;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Звёздная;Комплект 1 основной защиты ВЛ 330 кВ Восточная – Звёздная (ДЗЛ, СЗ) (7SD52);;без отключения;Б;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12614;21918;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 750 кВ Ленинградская;КСЗ 1 комплект ВЛ 330 кВ Ленинградская – Чудово (ДЗ, ТЗНП, ЗНР) (7SA52);;без отключения;Б;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12617;4814;Коми РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 500 кВ Вологодская;СДТУ направления Вологодское РДУ – ПС 500 кВ Вологодская;;с отключением;Пусто;;;;08:00 07.12.23;ВПр;НПЛ;;02:00;;с включением на ночь
12618;21110;Ленинградское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 330 кВ Звёздная;СДТУ направления Ленинградское РДУ – ПС 330 кВ Звёздная;;без отключения;Пусто;;;;03:30 24.11.23;ЗРР;НПЛ;;08:00;; 
12619;4788;Коми РДУ;ЭНРГ.Б;;Не рассмотренная;Печорская ГРЭС;Блок 3;;с отключением;Пусто;;;;17:01 06.12.23;ХР;НПЛ;;ВЗ;; 
12620;21115;Ленинградское РДУ;РЗА;;Не рассмотренная;ПС 330 кВ Звёздная;Комплект РЗА №1 КВЛ 220 кВ Восточная – Чесменская с отпайкой на ПС Звёздная (ДЗЛ, ДЗ, ТЗНП, МФТО, ЗНР, АОПО);;без отключения;Б;;;;03:30 24.11.23;ВПр;НПЛ;;08:00;;без отключения ЛЭП (оборудования)
12621;21125;Ленинградское РДУ;РЗА.ПА.УПАСК;;Не рассмотренная;ПС 330 кВ Парнас;ПРД/ПРМ ПКУС №1 по ВОКС ПС 330 кВ Парнас – ПС 750 кВ Ленинградская;;с отключением;ТП ОДУ Северо-Запада №272.1.ПА от 14.09.2023 / №272.2.ПА от от 14.09.2023;;;;03:30 24.11.23;ВПр;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12622;21126;Ленинградское РДУ;РЗА.ПА.УПАСК;;Не рассмотренная;ПС 330 кВ Завод Ильич;ПРД/ПРМ ПКУС №4 по ВОКС ПС 330 кВ Завод Ильич – ПС 750 кВ Ленинградская, ПС 330 кВ Василеостровская;;без отключения;ТП ОДУ Северо-Запада №275.1.ПА от 14.09.2023 / №275.2.ПА от 14.09.2023;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12637;0;ОДУ Северо-Запада;АСДУ.ПАК;;Не рассмотренная;ОДУ Северо-Запада;СК-Proxy;;без отключения;Пусто;;;;10:00 06.12.23;П;НПЛ;;00:30;; 
12639;6537;Новгородское РДУ;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Чудово;КСЗ ВЛ 330 кВ Ленинградская – Чудово (ДЗ, ТЗНП) (7SA52);;без отключения;Б от 24.11.23;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12641;21020;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Василеостровская;ДЗШ 1 комплект 2 СШ 330 (7UT63);;с отключением;Б;;;;00:00 11.12.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12642;21490;МЭС Северо-Запада;РЗА.РЗ;;Не рассмотренная;ПС 750 кВ Ленинградская;КСЗ 2 комплект ВЛ 330 кВ Ленинградская – Звёздная II цепь (ДЗ, ТЗНП, ЗНР) (7SA52);;с отключением;Б;;;;06:00 11.12.23;ВП;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
12643;5307;Архангельское РДУ;ЭНРГ.ТГ;;Не рассмотренная;Архангельская ТЭЦ;1ТГ;;с отключением;Пусто;;;;08:01 05.12.23;ТР;ПЛ;;ВЗ;; 
12645;21190;Ленинградское РДУ;РЗА;;Не рассмотренная;ПС 330 кВ Восточная;Комплект РЗА №1 КВЛ 220 кВ Восточная – Чесменская с отпайкой на ПС Звёздная (ДЗЛ, ДЗ, ТЗНП, МФТО, АОПО);;без отключения;Б;;;;03:30 24.11.23;ЗРР;НПЛ;;08:00;;без отключения ЛЭП (оборудования)
12647;21112;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Не рассмотренная;Ленинградское ПМЭС;ВЛ 330 кВ Восточная – Звёздная;;с отключением;ТП №111, №112 от 07.12.2022;да;;;00:00 29.11.23;ТР;НПЛ;;08:00;Да; 
12648;20652;Ленинградское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 220 кВ Колпинская;СДТУ направления Ленинградское РДУ – ПС 220 кВ Колпинская;;с отключением;П 2023-АСУ-2;;;;09:00 04.12.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12649;20651;Ленинградское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 330 кВ Северная;СДТУ направления Ленинградское РДУ – ПС 330 кВ Северная;;с отключением;П 2023-АСУ-2;;;;09:00 04.12.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12650;20650;Ленинградское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 330 кВ Волхов-Северная;СДТУ направления Ленинградское РДУ – ПС 330 кВ Волхов-Северная;;с отключением;П 2023-АСУ-2;;;;09:00 04.12.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12651;20649;Ленинградское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 330 кВ Менделеевская;СДТУ направления Ленинградское РДУ – ПС 330 кВ Менделеевская;;с отключением;П 2023-АСУ-ТО2;;;;09:00 04.12.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12652;20648;Ленинградское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 330 кВ Звёздная;СДТУ направления Ленинградское РДУ – ПС 330 кВ Звёздная;;с отключением;П 2023-АСУ-ТО-2;;;;09:00 04.12.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12653;20647;Ленинградское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;ПС 330 кВ Василеостровская;СДТУ направления Ленинградское РДУ – ПС 330 кВ Василеостровская;;с отключением;П 2023-АСУ-ТО-В;;;;09:00 04.12.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12654;20831;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Звёздная;АОПО комплект №2 КВЛ 330 кВ Звёздная – Пулковская №1 и КЛ 330 кВ Звёздная – Пулковская №2;;с отключением;Б;;;;08:00 04.12.23;ВП;НПЛ;;04:00;;без отключения ЛЭП (оборудования)
12655;20640;Ленинградское РДУ;РЗА.ПА.УПАСК;;Не рассмотренная;ПС 330 кВ Звёздная;ПРМ/ПРД ПКУС №2 по ВОКС ПС 750 кВ Ленинградская – ПС 330 кВ Звёздная (ПРМ);;с отключением;П;;;;08:00 04.12.23;ТК;ПЛ;;04:00;;без отключения ЛЭП (оборудования)
12656;20830;Ленинградское РДУ;РЗА.РЗ;;Не рассмотренная;ПС 330 кВ Колпино;Комплект защит №1 ВЛ 330 кВ Ленинградская – Колпино I цепь (ДЗЛ, СЗ, ЗНР, АОПО) (7SD52);;с отключением;П;;;;06:00 04.12.23;ВПр;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
14004;24968;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Тихвин-Литейный;АОПО АТ-5;;без отключения;Б;да;;;08:00 01.12.23;ЗРР;ПЛ;;00:30;; 
12657;20555;Ленинградское РДУ;РЗА.ПА;;Не рассмотренная;ПС 330 кВ Тихвин-Литейный;Комплект ПА №1 ВЛ 330 кВ Петрозаводск – Тихвин-Литейный (ФОЛ, АЛАР, АОПН, УРОВ АОПН) ;;с отключением;Б;;;;08:00 01.12.23;ВП;НПЛ;;02:00;;без отключения ЛЭП (оборудования)
12659;20827;Ленинградское РДУ;РЗА.РЗ;;Не рассмотренная;ПС 750 кВ Ленинградская;Комплект защит №1 ВЛ 330 кВ Ленинградская – Колпино I цепь (ДЗЛ, СЗ, ЗНР) (7SD52);;с отключением;П;;;;06:00 04.12.23;ВП;ПЛ;;02:00;;без отключения ЛЭП (оборудования)
12663;21123;Ленинградское РДУ;РЗА.ПА.УПАСК;;Не рассмотренная;ПС 750 кВ Ленинградская;ПРД/ПРМ ПКУС №3 по ВОКС ПС 750 кВ Ленинградская – ПС 330 кВ Центральная, ПС 330 кВ Парнас, ПС 330 кВ Завод Ильич, ПС 330 кВ Новосокольники, Псковская ГРЭС;;без отключения;ТП ОДУ Северо-Запада №272.1.ПА от 14.09.2023 / №272.2.ПА от от 14.09.2023;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12664;21124;Ленинградское РДУ;РЗА.ПА.УПАСК;;Не рассмотренная;ПС 750 кВ Ленинградская;ПРД/ПРМ ПКУС №4 по ВОКС ПС 750 кВ Ленинградская – ПС 330 кВ Центральная, ПС 330 кВ Парнас, ПС 330 кВ Завод Ильич, ПС 330 кВ Новосокольники, Псковская ГРЭС;;без отключения;ТП ОДУ Северо-Запада №275.1.ПА от 14.09.2023 / №275.2.ПА от 14.09.2023;;;;03:30 24.11.23;ЗРР;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12665;21012;Ленинградское РДУ;ЭЛТ.АТ,Т.АТ,Т 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;АТ-1;;с отключением;КП;да;;;00:00 30.11.23;ВПр;НПЛ;;ВЗ;; 
12666;6601;Карельское РДУ;ЭЛТ.Прочее ЭЛТ;;Не рассмотренная;ПС 220 кВ Костомукша (ПС 52);Ограничение режима работы ЭС Республики Карелия;;с отключением;Б;;;;08:00 30.11.23;ВПр;НПЛ;;04:00;; 
12667;6499;Карельское РДУ;РЗА.ПА;;Не рассмотренная;РП 330 кВ Борей;Комплект ПА №1 РП 330 кВ Борей (АОПН, АОСН) (ШЭЭ224 0103);;с отключением;ТБ;;;;08:00 04.12.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12668;6500;Карельское РДУ;РЗА.ПА;;Не рассмотренная;РП 330 кВ Борей;Комплект ПА №2 РП 330 кВ Борей (АОПН, АОСН) (ШЭЭ224 0103);;с отключением;ТБ;;;;08:00 11.12.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12669;6555;Карельское РДУ;СДТУ.СДТУ Н;;Не рассмотренная;РП 330 кВ Каменный Бор;СДТУ направления Карельское РДУ – РП 330 кВ Каменный Бор;;с отключением;Пусто;;;;08:00 05.12.23;К;ПЛ;;00:50;;с включением на ночь
12673;4830;Коми РДУ;ЭНРГ.ТГ;;Не рассмотренная;Воркутинская ТЭЦ-2;ТГ-1;;с отключением;Пусто;;;;00:00 01.12.23;ХР;НПЛ;;ВЗ;; 
12674;4792;Коми РДУ;ЭЛТ.В.В 220 кВ;;Не рассмотренная;Печорская ГРЭС;В АТ-5;;с отключением;Пусто;;;;13:01 06.12.23;ВКЛ;НПЛ;;00:10;; 
12676;4831;Коми РДУ;ЭНРГ.ТГ;;Не рассмотренная;Воркутинская ТЭЦ-2;ТГ-2;;с отключением;Пусто;;;;00:00 01.12.23;ХР;НПЛ;;ВЗ;; 
12677;4832;Коми РДУ;ЭНРГ.ТГ;;Не рассмотренная;Воркутинская ТЭЦ-2;ТГ-4;;с отключением;Пусто;;;;00:00 01.12.23;ХР;НПЛ;;ВЗ;; 
12678;21066;Ленинградское РДУ;ЭЛТ.СШ.СШ 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;1Ш 330кВ;;с отключением;КП;;;;00:00 01.12.23;ВПр;НПЛ;;04:00;; 
12679;21065;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;В 330 АТ-3/АТ-2;;с отключением;КП;;;;00:00 01.12.23;ВКЛ;НПЛ;;ВЗ;; 
12680;21064;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Не рассмотренная;ПС 330 кВ Ржевская;В 330 АТ-3/АТ-1;;с отключением;КП;;;;00:00 01.12.23;ВКЛ;НПЛ;;ВЗ;; 
12682;0;ОДУ Северо-Запада;АСДУ.ПАК;;Не рассмотренная;ОДУ Северо-Запада;ИУС «Система распространения плановых графиков» (ИУС СРПГ);;без отключения;Пусто;;;;08:30 11.12.23;ОПО;НПЛ;;00:30;; 
12683;0;ОДУ Северо-Запада;АСДУ.ПАК;;Не рассмотренная;ОДУ Северо-Запада;ОИК СК-11;;без отключения;КП;;;;08:00 06.12.23;ОПО;НПЛ;;00:30;; 
12684;0;ОДУ Северо-Запада;СДТУ.СДТУ Н;;Не рассмотренная;ОДУ Северо-Запада;СДТУ направления ОДУ Северо-Запада – Балтийское РДУ;;без отключения;Пусто;;;;02:00 30.11.23;К;НПЛ;;ВЗ;;без отключения ЛЭП (оборудования)
12685;6777;Кольское РДУ;ЭЛТ.Прочее ЭЛТ;;Не рассмотренная;ПС 150 кВ Заполярный (ПС 21);Ограничение режима работы ЭС Мурманской области;;с отключением;КП;;;;08:00 30.11.23;ВПр;НПЛ;;00:20;; 
12686;0;ОДУ Северо-Запада;АСДУ.ПАК;;Не рассмотренная;ОДУ Северо-Запада;СКАМ;;с отключением;Пусто;;;;08:00 01.12.23;ОПО;НПЛ;;00:30;; 
12687;0;ОДУ Северо-Запада;АСДУ.ПАК;;Не рассмотренная;ОДУ Северо-Запада;Автоматическая система сбора информации с регистраторов СМПР (АС СИ СМПР);;без отключения;Пусто;;;;08:00 01.12.23;ОПО;НПЛ;;00:30;; 
12688;0;ОДУ Северо-Запада;АСДУ.ПАК;;Не рассмотренная;ОДУ Северо-Запада;Расчет допустимых перетоков по сечениям различного оперативного подчинения и межуровневого обмена результатами расчетов для целей балансирующего рынка (СОДП БР);;с отключением;Пусто;;;;08:00 04.12.23;ОПО;НПЛ;;00:30;; 
12689;0;ОДУ Северо-Запада;АСДУ.ПАК;;Не рассмотренная;ОДУ Северо-Запада;ИУС ДЭБ;;без отключения;Пусто;;;;08:00 04.12.23;ОПО;НПЛ;;00:30;; 
12690;0;ОДУ Северо-Запада;СДТУ.СДТУ ДЦ;;Не рассмотренная;ОДУ Северо-Запада;СДТУ ОДУ Северо-Запада;;без отключения;Пусто;;;;09:00 04.12.23;ВПр;НПЛ;;00:20;; 
