Список заявок на 02:26 28.11.23;;;;;;;;;;;;;;;;;;;;
№ свой;№ чужой;Предприятие;Комплекс;;Состояние заявки;Объект;Оборудование;Оборудование, выводимое в ремонт;Состояние оборудования по заявке;Программа переключений ;Актуализация;Разрешенное время - начало ;Разрешенное время -  конец;Просимое время - начало;Ремонт;Категория;Просрочена;А\Г;Заземление;Условия производства
12371;20308;Ленинградское РДУ;РЗА.ПА.УПАСК;;Открытая;ПС 330 кВ Восточная;ПРД/ПРМ Tebit по ВОЛС ПС 330 кВ Восточная - ПС 400 кВ Выборгская;;с отключением;ТП ОДУ № 171.1 ПА от 16.11.2020 / № 171.2 ПА от 16.11.2020;;09:00 27.11.23;24:00 30.11.23;09:00 27.11.23;ВПр;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12377;0;ОДУ Северо-Запада;СДТУ.СДТУ ДЦ;;Открытая;ОДУ Северо-Запада;СДТУ ОДУ Северо-Запада;;без отключения;Пусто;;09:00 27.11.23;17:00 30.11.23;09:00 27.11.23;Н;НПЛ;;00:20;; 
12386;6413;Карельское РДУ;РЗА.ПА;;Открытая;ПС 330 кВ Петрозаводск;АОПН и УРОВ АОПН ВЛ 330 кВ Петрозаводск – Тихвин-Литейный;;с отключением;Б;;09:00 27.11.23;24:00 28.11.23;09:00 27.11.23;ВП;НПЛ;;02:00;;без отключения ЛЭП (оборудования)
12400;6384;Новгородское РДУ;ЭЛТ.В.В 330 кВ;;Разрешенная;ПС 330 кВ Псков;В 412 АТ-1;;с отключением;Б от 27.11.23;;09:00 27.11.23;24:00 28.11.23;09:00 27.11.23;ВПр;НПЛ;;02:00;;без разборки токовых цепей
12440;20179;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 330 кВ Гатчинская;СДТУ направления Ленинградское РДУ – ПС 330 кВ Гатчинская;;с отключением;П 2023-АСУ-ТО-Г;;09:00 27.11.23;16:00 01.12.23;09:00 27.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12462;4781;Коми РДУ;АСДУ.ПАК;;Разрешенная;Вологодское РДУ;CK11.Proxy;;без отключения;Пусто;;09:00 27.11.23;17:00 27.11.23;09:00 27.11.23;ОПО;НПЛ;;00:20;; 
12529;4320;Балтийское РДУ;ЭЛТ.В.В 330 кВ;;Открытая;ПС 330 кВ Северная 330;В1 ВЛ 414;;с отключением;Б;;09:00 27.11.23;18:00 28.11.23;09:00 27.11.23;ВПр;НПЛ;;00:30;; 
12214;6385;Карельское РДУ;СДТУ.СДТУ Н;;Открытая;Кондопожская ГЭС (ГЭС-1);СДТУ направления Карельское РДУ – Кондопожская ГЭС (ГЭС-1);;с отключением;Пусто;;08:00 27.11.23;17:00 28.11.23;08:00 27.11.23;Н;НПЛ;;03:00;;с включением на ночь
12408;20265;Ленинградское РДУ;РЗА.ПА;;Открытая;ПС 330 кВ Сясь;Комплект ПА №1 ВЛ 330 кВ Сясь – Петрозаводск (ФОЛ, АЛАР, АОПН, УРОВ АОПН) ;;с отключением;Б;;08:00 27.11.23;24:00 28.11.23;08:00 27.11.23;ВП;НПЛ;;04:00;;без отключения ЛЭП (оборудования)
12415;6526;Карельское РДУ;АСДУ.ПАК;;Открытая;Карельское РДУ;ПАК «MODES-Terminal»;;с отключением;Пусто;;08:00 27.11.23;12:00 28.11.23;08:00 27.11.23;ОПО;НПЛ;;ВЗ;; 
12422;21539;МЭС Северо-Запада;ЭЛТ.В.В 330 кВ;;Открытая;ПС 400 кВ Выборгская;В330 кВ АТ-3;;с отключением;Б;;08:00 27.11.23;24:00 29.11.23;08:00 27.11.23;ВПр;НПЛ;;04:00;;с отключением токовых цепей
12423;21541;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;ДЗОШ 330 кВ 1 к-т АТ-3;;с отключением;Б;;08:00 27.11.23;24:00 29.11.23;08:00 27.11.23;ВПр;НПЛ;;04:00;; 
12424;21540;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;ДЗОШ 330 кВ 2 к-т АТ-3;;с отключением;Б;;08:00 27.11.23;24:00 29.11.23;08:00 27.11.23;ВПр;НПЛ;;04:00;; 
12439;20847;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 750 кВ Копорская;СДТУ направления Ленинградское РДУ – ПС 750 кВ Копорская;;без отключения;Пусто;;08:00 27.11.23;24:00 01.12.23;08:00 27.11.23;ОПО;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12516;21169;ОДУ Центра;ЭЛТ.АТ,Т.АТ,Т 750 кВ;;Открытая;ПС 750 кВ Белозерская;АТ-1;;с отключением;Б;да;08:00 27.11.23;24:00 07.12.23;08:00 27.11.23;ТР;ПЛ;;24:00;; 
12583;411105;Augstsprieguma tikls;ЛЭП.ЛЭП 330 кВ;;Открытая;Augstsprieguma tikls;ВЛ 330 кВ Броцени – Вискали (ВЛ 322);;с отключением;П;да;07:00 27.11.23;16:00 08.12.23;07:00 27.11.23;ТР;НПЛ;;04:00;Да; 
12072;19991;МЭС Северо-Запада;РЗА.РЗ;;Разрешенная;ПС 750 кВ Ленинградская;КСЗ 1 комплект ВЛ 330 кВ Ленинградская – Чудово (ДЗ, ТЗНП, ЗНР) (7SA52);;с отключением;Б;;06:00 27.11.23;24:00 28.11.23;06:00 27.11.23;ВП;ПЛ;;02:00;;без отключения ЛЭП (оборудования)
